,DAL,UAL,AAL,LUV,ALK,JBLU,UNP,CSX,NSC,CP,CNI,UPS,FDX,JBHT,ODFL,KNX,SAIA,SNDR,CHRW,EXPD
2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024991008777356008,0.0,0.0,0.0
2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02151385836286108,0.0,0.0,0.0
2022-10-11,0.0,0.0,0.006217034852940254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006217034852940254,0.0,0.0,0.0
2022-10-12,0.0,0.0,0.0015352291513431632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015352291513431632,0.0,0.0,0.0
2022-10-13,0.0,0.0,0.003026012456510536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003026012456510536,0.0,0.0,0.0
2022-10-14,0.0,0.0,0.012068871894755672,0.0,0.0,0.0,0.0,0.0,0.0,-0.024137743789511345,0.0,0.0,0.0,0.0,0.0,0.0,0.012068871894755672,0.0,0.0,0.0
2022-10-17,0.0,0.0,0.012060515949710702,0.0,0.0,0.0,0.0,0.0,0.0,-0.024121031899421403,0.0,0.0,0.0,0.0,0.0,0.0,0.012060515949710702,0.0,0.0,0.0
2022-10-18,0.0,0.0,0.018064025926424577,0.0,0.0,0.0,0.0,0.0,0.0,-0.036128051852849154,0.0,0.0,0.0,0.0,0.0,0.0,0.018064025926424577,0.0,0.0,0.0
2022-10-19,0.0,0.024277328424574814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04855465684914963,0.0,0.0,0.0,0.0,0.0,0.0,0.024277328424574814,0.0,0.0,0.0
2022-10-20,0.0,0.0,0.0,0.0,0.0,0.02303188799662699,-0.02303188799662699,0.0,0.0,-0.02303188799662699,0.0,0.0,0.0,0.0,0.0,0.0,0.02303188799662699,0.0,0.0,0.0
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.030570849880670097,-0.030570849880670097,0.0,0.0,-0.030570849880670097,0.0,0.0,0.0,0.0,0.0,0.0,0.030570849880670097,0.0,0.0,0.0
