,gross_return,turnover,transaction_cost,net_returns,n_longs,n_shorts
2015-04-01,0.0,0.0,0.0,0.0,0,0
2015-04-02,0.0,0.0,0.0,0.0,0,0
2015-04-06,0.0,0.0,0.0,0.0,0,0
2015-04-07,0.0,0.0,0.0,0.0,0,0
2015-04-08,0.0,0.0,0.0,0.0,0,0
2015-04-09,0.0,0.0,0.0,0.0,0,0
2015-04-10,0.0,0.0,0.0,0.0,0,0
2015-04-13,0.0,0.0,0.0,0.0,0,0
2015-04-14,0.0,0.0,0.0,0.0,0,0
2015-04-15,0.0,0.0,0.0,0.0,0,0
2015-04-16,0.005104703604147051,0.25,0.000375,0.004729703604147051,1,0
2015-04-17,0.0,0.25,0.000375,-0.000375,0,0
2015-04-20,0.0,0.0,0.0,0.0,0,0
2015-04-21,0.0,0.0,0.0,0.0,0,0
2015-04-22,0.0032341445256943995,0.25,0.000375,0.0028591445256943996,1,0
2015-04-23,0.0,0.25,0.000375,-0.000375,0,0
2015-04-24,-0.009981783409099903,0.5,0.00075,-0.010731783409099903,2,1
2015-04-27,0.0,0.5,0.00075,-0.00075,0,0
2015-04-28,0.0,0.0,0.0,0.0,0,0
2015-04-29,0.0,0.0,0.0,0.0,0,0
2015-04-30,-0.005047908228143229,0.25,0.000375,-0.00542290822814323,1,0
2015-05-01,0.0,0.25,0.000375,-0.000375,0,0
2015-05-04,0.009120016364421415,0.25,0.000375,0.008745016364421414,0,1
2015-05-05,0.015786010695613605,0.0,0.0,0.015786010695613605,0,1
2015-05-06,-0.004299491154861283,0.0,0.0,-0.004299491154861283,0,1
2015-05-07,-0.0147033783584148,0.0,0.0,-0.0147033783584148,0,1
2015-05-08,0.0,0.25,0.000375,-0.000375,0,0
2015-05-11,0.0,0.0,0.0,0.0,0,0
2015-05-12,0.0,0.0,0.0,0.0,0,0
2015-05-13,0.0,0.0,0.0,0.0,0,0
2015-05-14,-0.006583289305741292,0.25,0.000375,-0.006958289305741292,0,1
2015-05-15,0.0,0.25,0.000375,-0.000375,0,0
2015-05-18,0.0,0.0,0.0,0.0,0,0
2015-05-19,0.0,0.0,0.0,0.0,0,0
2015-05-20,0.0,0.0,0.0,0.0,0,0
2015-05-21,-0.0014879117054667486,0.25,0.000375,-0.0018629117054667485,0,1
2015-05-22,0.0,0.25,0.000375,-0.000375,0,0
2015-05-26,0.0,0.0,0.0,0.0,0,0
2015-05-27,0.0,0.0,0.0,0.0,0,0
2015-05-28,0.0,0.0,0.0,0.0,0,0
2015-05-29,0.0,0.0,0.0,0.0,0,0
2015-06-01,0.0,0.0,0.0,0.0,0,0
2015-06-02,0.0,0.0,0.0,0.0,0,0
2015-06-03,0.002904144969268355,0.25,0.000375,0.002529144969268355,1,0
2015-06-04,-0.008272698818352894,0.0,0.0,-0.008272698818352894,1,0
2015-06-05,0.0,0.25,0.000375,-0.000375,0,0
2015-06-08,0.0,0.0,0.0,0.0,0,0
2015-06-09,0.012022788505604134,0.5,0.00075,0.011272788505604134,2,1
2015-06-10,0.006163287876746859,0.0,0.0,0.006163287876746859,2,1
2015-06-11,0.0,0.5,0.00075,-0.00075,0,0
2015-06-12,0.0,0.0,0.0,0.0,0,0
2015-06-15,0.0,0.0,0.0,0.0,0,0
2015-06-16,0.0,0.0,0.0,0.0,0,0
2015-06-17,0.0,0.0,0.0,0.0,0,0
2015-06-18,0.0,0.0,0.0,0.0,0,0
2015-06-19,-0.0051307082947236095,0.25,0.000375,-0.00550570829472361,0,1
2015-06-22,0.0,0.25,0.000375,-0.000375,0,0
2015-06-23,0.0,0.0,0.0,0.0,0,0
2015-06-24,0.0,0.0,0.0,0.0,0,0
2015-06-25,0.0,0.0,0.0,0.0,0,0
2015-06-26,0.0,0.0,0.0,0.0,0,0
2015-06-29,0.0,0.0,0.0,0.0,0,0
2015-06-30,0.0,0.0,0.0,0.0,0,0
2015-07-01,0.0,0.0,0.0,0.0,0,0
2015-07-02,0.0,0.0,0.0,0.0,0,0
2015-07-06,0.0,0.0,0.0,0.0,0,0
2015-07-07,-0.0042530110331186945,0.25,0.000375,-0.004628011033118695,0,1
2015-07-08,0.013909248120788583,0.0,0.0,0.013909248120788583,0,1
2015-07-09,0.0,0.25,0.000375,-0.000375,0,0
2015-07-10,0.0,0.0,0.0,0.0,0,0
2015-07-13,-0.010602650055770865,0.25,0.000375,-0.010977650055770866,0,1
2015-07-14,-0.0033321885315165663,0.0,0.0,-0.0033321885315165663,0,1
2015-07-15,-0.00376510985175342,0.0,0.0,-0.00376510985175342,0,1
2015-07-16,-0.00542629990792204,0.0,0.0,-0.00542629990792204,0,1
2015-07-17,-0.005256691360292828,0.0,0.0,-0.005256691360292828,0,1
2015-07-20,0.009547643470303737,0.0,0.0,0.009547643470303737,0,1
2015-07-21,-0.00631067255708074,0.0,0.0,-0.00631067255708074,0,1
